FundingOrgName,LeadROName,ProjectReference,ProjectCategory,PISurname,PIFirstName,PIOtherNames,Title,StartDate,EndDate,AwardPounds,ExpenditurePounds,FundingOrgId,LeadROId,PIId,ProjectId,GTRProjectUrl
STFC,The Observatory Science Centre,ST/L001578/1,Research Grant,Voss,Sandra,,National Astronomy Week 2014: Target Jupiter,23/09/2013,22/05/2014,10000,,D7F4F462-0518-4784-908A-D12633C139B3,1E08E476-85B4-40A1-B5B9-B372A01ED2E8,351D2896-771C-42A0-88B9-7E7BB145F937,BB37DD29-2EEA-40FD-A92C-C9F3749BE2F9,http://gtr.rcuk.ac.uk:80/project/BB37DD29-2EEA-40FD-A92C-C9F3749BE2F9
STFC,University College London,ST/H002022/1,Research Grant,Savini,Giorgio,,UCL Astrophysics Short-term Visitor Programme 2010-2012,01/04/2010,31/03/2012,44489,,D7F4F462-0518-4784-908A-D12633C139B3,3A5E126D-C175-4730-9B7B-E6D8CF447F83,6C498432-EA58-424A-9EF3-26505728D221,32146243-4B14-41CA-A54D-C63BB45DCB4B,http://gtr.rcuk.ac.uk:80/project/32146243-4B14-41CA-A54D-C63BB45DCB4B
STFC,The University of Manchester,ST/L001039/1,Research Grant,Soldner-Rembold,Stefan,,ATLAS Upgrade 2012/1 - HLT,01/04/2013,31/03/2018,189204,,D7F4F462-0518-4784-908A-D12633C139B3,E5AFE7E4-FF5D-4FF1-B50B-E04A6DF7D791,A0B95F21-37DF-4B88-84CD-091248E3E24D,BE11CB8C-7B65-4283-99F6-9D960A9D87CB,http://gtr.rcuk.ac.uk:80/project/BE11CB8C-7B65-4283-99F6-9D960A9D87CB
STFC,University of Leicester,ST/K003259/1,Research Grant,Wilkinson,Mark,Ivor,DiRAC2: Recurrent costs for 100 Tflop/s HPC,01/05/2012,31/01/2016,312949,,D7F4F462-0518-4784-908A-D12633C139B3,C842A34F-18F7-454D-A259-FED802368496,2255C007-EA52-4FA5-9FCA-33D9C5653D3C,AE3ED78B-092B-4C93-90AF-D5361FEA96CA,http://gtr.rcuk.ac.uk:80/project/AE3ED78B-092B-4C93-90AF-D5361FEA96CA
STFC,Queen's University of Belfast,PP/C506805/1,Fellowship,Smartt,Stephen,,The lives of massive stars from birth to supernovae,01/10/2005,30/09/2010,322923,,D7F4F462-0518-4784-908A-D12633C139B3,6DF12A24-BEFF-40FA-9A8E-D79B6BFDF346,C5B1BF32-38CB-4CCB-995D-7B242938A169,2C28930F-6C33-4DDB-89DC-DDBA1ACBF002,http://gtr.rcuk.ac.uk:80/project/2C28930F-6C33-4DDB-89DC-DDBA1ACBF002
STFC,University of Warwick,ST/I001719/1,Research Grant,Marsh,Thomas,,Warwick Astronomy and Astrophysics Rolling Grant 2011-2016,24/08/2011,30/08/2014,1234510,,D7F4F462-0518-4784-908A-D12633C139B3,B6FB652A-60C3-48DD-9A33-075D1F759B48,F6C6D8EE-8062-482D-8826-119457404CA1,3DA6F900-26EA-4E49-BD5D-E2A4F4013604,http://gtr.rcuk.ac.uk:80/project/3DA6F900-26EA-4E49-BD5D-E2A4F4013604
STFC,University of Leicester,ST/L00142X/1,Research Grant,Sembay,Steven,Frederick,XMM EPIC Post-Launch Support,01/01/2013,30/09/2014,201063,,D7F4F462-0518-4784-908A-D12633C139B3,C842A34F-18F7-454D-A259-FED802368496,836583F8-C402-410E-BDB2-671F5A5EC531,8DF69F5D-530C-4106-AA87-C6FCADEDAE46,http://gtr.rcuk.ac.uk:80/project/8DF69F5D-530C-4106-AA87-C6FCADEDAE46
STFC,Queen's University of Belfast,ST/F011016/1,Fellowship,Hsieh,Henry,Hong-Li,Probing Icy Planetesimals in the Inner Solar System,01/10/2008,31/08/2010,207413,,D7F4F462-0518-4784-908A-D12633C139B3,6DF12A24-BEFF-40FA-9A8E-D79B6BFDF346,4326AFA2-7910-41C6-AE83-5180D056F1A4,4FDC884C-9636-4F85-B7F8-E272D4C2D915,http://gtr.rcuk.ac.uk:80/project/4FDC884C-9636-4F85-B7F8-E272D4C2D915
STFC,University of Sheffield,ST/M000826/1,Research Grant,von Fay-Siebenburgen,Robert,,Application to STFC for Consolidated Grant Support for the Solar Physics and Space Plasma Research Centre (SP2RC) at The University of Sheffield,01/04/2015,31/03/2018,664327,,D7F4F462-0518-4784-908A-D12633C139B3,03D8AFBB-3EA5-4885-B036-BD4F9F4F9849,5BD3DA82-FF39-44CB-894E-327A94572CDF,16BE147B-8F32-4FD1-80CF-A5FE6B723A9B,http://gtr.rcuk.ac.uk:80/project/16BE147B-8F32-4FD1-80CF-A5FE6B723A9B
STFC,University of York,ST/J000574/2,Fellowship,Hodson,Mark,Edward,Shining light on the environment,01/09/2012,30/09/2014,57720,,D7F4F462-0518-4784-908A-D12633C139B3,4C8B6E93-01E5-4C35-B017-762AA513CEC9,8B859AF5-6389-4F8D-A8EB-A461080ED4D1,E0165E21-7159-4AEF-BC91-B9D47AD6667F,http://gtr.rcuk.ac.uk:80/project/E0165E21-7159-4AEF-BC91-B9D47AD6667F
